Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Batch,_gbc_pvals,GBC_KSstats,_hist_pvals,NumGenes
RNA_B05_11,20901802.0,99.56,7948645.0,38.19658038984854,67.79,1162827.0,0.31,1.839,0.2,0.046,batch_05,0.6243985690243574,0.09,0.4243347657803523,14583.0
RNA_B05_12,18688838.0,99.3,7109279.0,38.308399716148244,53.16,1299227.0,0.23,2.926,0.11,0.092,batch_05,0.7966677253410352,0.05,0.47967492821537994,14154.0
RNA_B05_13,19272410.0,99.4,3441612.0,17.965507779812928,49.78,889297.0,0.0,3.15,0.0,0.108,batch_05,0.2393502828005165,0.17,0.2549407883099101,11976.0
RNA_B05_14,19631338.0,99.34,1305425.0,6.69387917986503,42.36,457051.0,0.0,4.062,0.0,0.11,batch_05,0.16733351268893087,0.19,0.17452492479377352,11125.0
RNA_B05_15,18681433.0,99.59,1367563.0,7.3505768624701915,44.99,371195.0,0.0,2.344,0.0,0.081,batch_05,0.42243415688572034,0.13,0.06405794927114025,9330.0
RNA_B05_16,19645216.0,99.31,9970506.0,51.10547262676525,60.13,1817526.0,0.62,2.402,0.28,0.079,batch_05,0.7168183469811907,0.07,0.4383901746744558,13522.0
RNA_B05_17,20415413.0,99.47,10545110.0,51.927907965561,60.9,2021014.0,0.42,2.275,0.38,0.079,batch_05,0.5749037124841687,0.1,0.2950674921155757,15650.0
RNA_B05_18,19134411.0,99.88,10653892.0,55.74612163623184,66.5,1674282.0,0.79,0.756,0.43,0.03,batch_05,0.7966677253410352,0.05,0.4343186744366962,14505.0
RNA_B05_20,18986562.0,99.9,3561293.0,18.775689131385963,60.89,605371.0,0.0,0.709,0.0,0.032,batch_05,0.3730253578520104,0.14,0.2920053332805367,12318.0
RNA_B05_21,18958053.0,99.78,6625171.0,35.0235254259918,59.51,1110444.0,0.29,0.907,0.27,0.041,batch_05,0.42243415688572034,0.13,0.2245797287755179,11676.0
RNA_B05_22,20380415.0,99.24,1272857.0,6.293320309979179,42.69,414130.0,0.0,3.564,0.0,0.11,batch_05,0.4730961202940454,0.12,0.029405140116345374,8201.0
RNA_B05_23,19179102.0,99.84,11052775.0,57.72161689556017,66.73,2038335.0,1.96,0.801,1.41,0.032,batch_05,0.7168183469811907,0.07,0.43299929357586475,13480.0
RNA_B05_24,19513549.0,99.93,14217772.0,72.9120643917126,52.41,1145792.0,0.13,0.364,0.12,0.019,batch_05,0.5749037124841687,0.1,0.0012091127038280152,23303.0
RNA_B06_01,22123944.0,99.32,1449253.0,6.595457811094429,49.89,231209.0,0.0,1.657,0.0,0.046,batch_06,0.6243985690243574,0.09,0.038583542112213425,8576.0
RNA_B06_02,22328924.0,99.28,11627885.0,52.45310044101746,65.13,1429158.0,0.56,1.599,0.41,0.052,batch_06,0.42243415688572034,0.13,0.41055547620109734,13304.0
RNA_B06_03,22934328.0,99.06,8125822.0,35.76703680898759,59.47,1177171.0,0.12,2.532,0.0,0.076,batch_06,0.7966677253410352,0.05,0.4175413859151962,13359.0
RNA_B06_04,22327351.0,99.04,10709387.0,48.430257844415245,58.88,2043064.0,0.98,2.806,0.55,0.08,batch_06,0.8309581702058771,0.04,0.3972094790921897,14797.0
RNA_B06_05,20575503.0,99.36,7098196.0,34.72049781355604,60.28,1131998.0,0.24,1.699,0.21,0.051,batch_06,0.6719249106542564,0.08,0.4284252362387791,14551.0
RNA_B06_06,22346735.0,99.18,7332988.0,33.08588770715808,58.14,1780939.0,0.54,2.456,0.37,0.073,batch_06,0.6243985690243574,0.09,0.4852615675550563,14111.0
RNA_B06_07,21953580.0,99.34,3325180.0,15.247043968082242,52.65,753180.0,0.0,2.612,0.0,0.085,batch_06,0.3730253578520104,0.14,0.3190782823680871,12555.0
RNA_B06_08,20129358.0,99.28,6705714.0,33.554697999109706,60.41,1458471.0,0.57,2.509,0.39,0.073,batch_06,0.6719249106542564,0.08,0.47600182252992135,13813.0
