0,1,2,3,4,5,6,7,8,Sample
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_15
0.5,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,RNA_B08_16
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_17
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B08_18
0.0,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,RNA_B08_19
0.5,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.0,RNA_B08_20
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_22
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_23
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B08_24
0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,RNA_B08_25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_01
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_03
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B09_04
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B09_05
0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,RNA_B09_06
0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_08
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B09_09
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B09_10
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,RNA_B09_11
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_12
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_13
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B09_14
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B09_15
0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,RNA_B09_16
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,RNA_B09_17
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B09_18
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,RNA_B09_19
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RNA_B09_20
0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,RNA_B09_21
